№,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Вариант E,Topic,Group_ID,Correct_Answer
1,"The term “hegemony,” as used in Cultural Studies to describe the dominant cultural norms and values that maintain social control, was originally developed by which thinker?",Karl Marx,Theodor Adorno,Antonio Gramsci,Jean Baudrillard,Clifford Geertz,General Cultural Studies,1,C
2,What is the main focus of cultural relativism in Cultural Studies?,The belief that some cultures are more advanced than others,That all cultural practices should be judged by universal moral standards,That each culture must be understood in its own terms without ethnocentric judgment,The classification of cultures according to religious traditions,That culture is determined solely by economic systems,General Cultural Studies,1,C
4,Which of the following best defines culture in the context of Cultural Studies?,The study of biology and human evolution,The collection of economic systems in a society,"The shared beliefs, values, customs, behaviors, and artifacts of a group",The formal political structure of a society,A static and unchanging tradition passed through generations,General Cultural Studies,1,C
6,Who is considered the father of American cultural anthropology?,Clifford Geertz,Bronisław Malinowski,Lewis Henry Morgan,Michel Foucault,Franz Boas,General Cultural Studies,1,E
8,What is the difference between material and non-material culture,"One is old, one is new","One is correct, one is wrong","One includes physical objects, the other includes beliefs and values",Both are the same,One is superior to the other,General Cultural Studies,1,C
9,Which term is associated with Margaret Mead’s studies of adolescence in Samoan society?,Cultural conflict,Cultural relativism,Ethnocentrism,Technological determinism,Power dynamics,General Cultural Studies,1,B
10,Which concept describes the coexistence of diverse cultures in one society?,Nationalism,Multiculturalism,Cultural purity,Ethnocentrism,Colonialism,General Cultural Studies,1,B
11,Researchers believe that an individual’s norms and actions should be understood by others in terms of that individual’s own cultural context. This concept is referred to as:,Cultural interpretation,Cultural sensitivity,Cultural relativism,Cultural boundaries,Cultural aspect,General Cultural Studies,1,C
12,An exchange student travels to Morocco... Which of the following is not an example of material culture?,Traditions,Vases,Artifacts,Souvenirs,Necklaces,General Cultural Studies,1,A
13,"When conducting business with other cultures, how should we understand gestures (such as shaking your head)?",Gestures are understood by people and animals in the same way,Gestures are interpreted in the same way by all cultures,Gestures are not needed,Gestures are defined uniquely by each culture,Gestures are universal,General Cultural Studies,1,D
14,The disorientation a person may feel when experiencing an unfamiliar way of life changes in social environments is referred to as:,Culture shock,Culture clash,Cultural independency,Cultural sickness,Cultural dependency,General Cultural Studies,1,A
23,“The Mind of Primitive Man” was written by:,Franz Boas,Edward Tylor,Bronisław Malinowski,Raymond Williams,Stuart Hall,General Cultural Studies,1,A
29,The idea that “food is a communication system” comes from which approach?,Political science,Semiotics,Astronomy,Behavioral economics,Pharmacology,General Cultural Studies,1,B
30,"When someone misinterprets a cultural gesture, it may be due to:",Language error,Lack of education,A misunderstanding of the cultural code,Memory loss,Technology failure,General Cultural Studies,1,C
31,Which concept best describes a community's general perception of the world and human existence?,Legislation,Worldview,Geography,Fashion,Demographics,General Cultural Studies,1,B
32,How are ethos and worldview transmitted within a culture?,Through media and education,Through traditions and rituals,Through language and communication,Through religion and art,All of the above,General Cultural Studies,1,E
33,"What does the term ""ethos"" refer to in cultural studies?",Economic structure,A set of ethical norms and moral attitudes shared by a community,The biological traits of a population,A political ideology,A form of entertainment,General Cultural Studies,1,B
34,Which of the following is an element of non-material culture?,Architecture,Language,Tools,Clothing,Food,General Cultural Studies,1,B
35,What term refers to judging another culture solely by the values and standards of one's own culture?,Multiculturalism,Cultural relativism,Ethnocentrism,Cultural diffusion,Enculturation,General Cultural Studies,1,C
36,What is the most commonly accepted definition of culture?,Biological inheritance,Technological advancement,"Shared beliefs, values, and practices of a group",Economic system of a nation,Physical environment,General Cultural Studies,1,C
39,What is non-verbal communication?,Communication using language,Communication without words,Writing emails,Grammar correction,Silent reading,General Cultural Studies,2,B
40,Which of the following is NOT a component of verbal communication?,Vocabulary,Syntax,Tone of voice,Facial expressions,Grammar,General Cultural Studies,2,D
41,What is digitalization in the context of culture?,Using paper records for data storage,Applying mathematical models to society,The integration of digital technologies into cultural practices and institutions,The destruction of traditional customs,The development of agricultural tools,General Cultural Studies,2,C
42,Which of the following is an example of digital culture?,Traditional dances,Oral storytelling,Social media content creation,Folk art,Religious rituals,General Cultural Studies,2,C
43,What does the term “digital divide” refer to?,The separation of urban and rural areas,The gap between those who have access to digital technologies and those who do not,The difference between two cultures,A global peace treaty,Generational change in language,General Cultural Studies,2,B
44,Which of the following best illustrates global digital culture?,A local newspaper,Traditional pottery,Viral internet memes,Religious sermons,National flags,General Cultural Studies,2,C
46,Digital humanities refers to:,A new religion,Study of ancient tools,The use of digital tools to study humanities disciplines,Replacement of books with robots,Natural sciences,General Cultural Studies,2,C
47,Which social media platform is known for its cultural influence globally?,Telegram,WhatsApp,TikTok,Excel,Firefox,General Cultural Studies,2,C
48,Which technology is commonly used in the digital preservation of cultural sites?,Steam engines,Artificial intelligence,3D scanning and virtual reality,Typewriters,Morse code,General Cultural Studies,2,C
49,Which of the following is an example of digital culture?,Traditional dances,Oral storytelling,Social media content creation,Folk art,Religious rituals,General Cultural Studies,2,C
50,What is digitalization in the context of culture?,Using paper records for data storage,Applying mathematical models to society,The integration of digital technologies into cultural practices and institutions,The destruction of traditional customs,The development of agricultural tools,General Cultural Studies,2,C
51,How has digitalization changed the way cultural heritage is preserved?,It has reduced access to heritage,It allows for digital archiving and wider dissemination,It destroys historical records,It prevents cultural exchange,It limits international cooperation,General Cultural Studies,2,B
66,Cultural hybridization refers to:,The loss of national identity,The merging of traditional and modern practices,The rejection of technological advancements,The revival of indigenous languages,The political unification of states,General Cultural Studies,2,B
71,"The process of introducing an individual to culture, assimilating existing habits, norms, and values peculiar to a given culture is",Habits,Canon,Inculturation,Norms,Values,General Cultural Studies,2,C
72,"The system of values and norms of behavior characteristic of individual demographic, professional and other groups that does not fundamentally contradict the dominant culture is",Norms,Religion,Canon,Counterculture,Subculture,General Cultural Studies,2,E
73,Mass culture is the culture of the masses... also known as,not popular,popular,subculture,elite,individual,General Cultural Studies,2,B
75,"The project ""Cultural Heritage"" was developed in 2003... implementation began in",2009,2010,2007,2004,2006,General Cultural Studies,2,D
85,Which folk musical instrument is associated with shamanism?,sybyzgy,kobyz,dombra,sherter,syrnai,General Cultural Studies,2,B
115,The term “ethnoculture” refers to:,Individual creativity,Cultural norms of a specific ethnic group,World globalization,Urban lifestyle,Social mobility,General Cultural Studies,2,B
125,Which instrument traditionally accompanied shamans?,Dombra,Kobyz,Zhetigen,Sybyzgy,Sherter,General Cultural Studies,2,B
3,What role does media play in Cultural Studies?,It is considered a neutral transmitter of factual information,It is ignored in favor of traditional cultural expressions,"It is analyzed as a powerful tool that shapes ideology, identity, and cultural norms",It is studied mainly for its technological innovations,It is valued only for its entertainment function,Philosophy & Semiotics,3,C
7,The philosophy of “Homo Ludens” by Johan Huizinga emphasizes:,War as the foundation of culture,Logic as the main human function,Play as the basis of culture and civilization,Economy as the root of culture,Politics as the highest cultural form,Philosophy & Semiotics,3,C
15,The philosophy of “Homo Ludens” by Johan Huizinga emphasizes:,War as the foundation of culture,Logic as the main human function,Play as the basis of culture and civilization,Economy as the root of culture,Politics as the highest cultural form,Philosophy & Semiotics,3,C
24,Ernst Cassirer believed that humans are:,Political animals,Rational calculators,Symbolic animals,Power seekers,Economic beings,Philosophy & Semiotics,3,C
25,What is a “cultural code”?,A genetic structure that determines culture,A universal legal system,A set of symbolic systems and meanings shared by a culture,A computer program,A scientific theory of biology,Philosophy & Semiotics,3,C
26,A cultural code can best be described as:,The rules of grammar,The visual appearance of a culture,"A deep structure of meanings, myths, and values that influence behavior",The climate of a region,Religious texts only,Philosophy & Semiotics,3,C
27,"In media and communication studies, cultural codes are used to:",Create scientific models,Decode and analyze meaning in texts and media,Set economic policies,Interpret weather data,Produce industrial goods,Philosophy & Semiotics,3,B
28,Which of the following fields most frequently studies cultural codes?,Chemistry,Engineering,Culturology and Anthropology,Geometry,Architecture,Philosophy & Semiotics,3,C
38,What is the primary function of language in human society?,Decoration,Survival instinct,Communication,Genetic transfer,Imitation,Philosophy & Semiotics,3,C
45,What role does artificial intelligence (AI) play in digital culture?,It is used only in factories,"It helps translate languages, create art, and analyze cultural data",It replaces humans in sports,It destroys internet access,It prevents online learning,Philosophy & Semiotics,3,B
52,What is semiotics?,The study of stars,The study of historical facts,The study of signs and symbols and their use or interpretation,The study of grammar rules,The study of human anatomy,Philosophy & Semiotics,3,C
53,Who is considered one of the founding fathers of modern semiotics?,Karl Marx,Charles Darwin,Ferdinand de Saussure,Albert Einstein,Max Weber,Philosophy & Semiotics,3,C
54,Which field most commonly uses semiotic analysis today?,Physics,Chemistry,Media and cultural studies,Mathematics,Engineering,Philosophy & Semiotics,3,C
55,"In Peirce’s semiotics, what are the three types of signs?","Natural, supernatural, artificial","Icon, index, symbol","Word, sound, image","Denotation, connotation, myth","Logical, poetic, emotional",Philosophy & Semiotics,3,B
129,Which thinker is known as the “Second Teacher” after Aristotle?,Ibn Sina,Al-Farabi,Attar,Al-Kindi,Gazali,Philosophy & Semiotics,3,B
5,Akhmet Baitursynov is primarily known for:,Writing romantic poetry,Leading the Red Army,Creating the Kazakh alphabet reform and linguistic studies,Organizing musical festivals,Translating Chinese classics,Kazakhstan & Turkic World,3,C
16,What is Al-Farabi best known for in the history of philosophy?,Discovering algebra,Founding political theory,Synthesizing Greek philosophy with Islamic thought,Writing only in poetry,Inventing the printing press,Kazakhstan & Turkic World,3,C
17,What is the title of Al-Farabi's most famous political work?,The Republic,The Book of Justice,The Virtuous City (al-Madina al-Fadila),The Path to Wisdom,The Perfect Soul,Kazakhstan & Turkic World,3,C
18,Which of the following is a prominent symbol of modern Kazakh national identity?,Yurt,Golden Man (Altyn Adam),Silk,Tundra,Dombyra,Kazakhstan & Turkic World,3,B
19,What is the traditional Kazakh string instrument often used in contemporary performances?,Komuz,Kyl-kobyz,Dombyra,Balalaika,Oud,Kazakhstan & Turkic World,3,C
20,Which city is considered the cultural and creative hub of modern Kazakhstan?,Aktobe,Almaty,Turkestan,Atyrau,Shymkent,Kazakhstan & Turkic World,4,B
21,The “Rukhani Zhangyru” program aims to:,Build more highways,Modernize national identity through culture and education,Expand natural gas,Promote agriculture,Open casinos,Kazakhstan & Turkic World,4,B
22,Which element is often used in modern Kazakh fashion design?,Silk from China,Wool from Europe,Traditional ornaments and embroidery,Denim only,Leather only,Kazakhstan & Turkic World,4,C
37,Which studio has historically played a central role in producing Kazakh films?,Studio Mosfilm,Kazakhfilm,Central Asia Pictures,Steppe Studios,Alatau Films,Kazakhstan & Turkic World,4,B
56,Which alphabet was historically used by early Turkic peoples?,Latin,Cyrillic,Orkhon-Yenisey script (Old Turkic script),Arabic script only,Greek script,Kazakhstan & Turkic World,4,C
57,What is a defining characteristic of traditional Turkic culture?,Sedentary farming lifestyle,Maritime navigation,Nomadic pastoralism,Urban industrialization,Slave-based economy,Kazakhstan & Turkic World,4,C
58,What is the significance of the Orkhon inscriptions?,Religious commandments,Ancient Turkic legal codes,The earliest known written records in a Turkic language,Treaties with China,Medical texts,Kazakhstan & Turkic World,4,C
59,What does the word “Tengri” refer to in ancient Turkic beliefs?,A type of garment,A sacred book,The sky deity or god of the heavens,A battle strategy,A mountain spirit,Kazakhstan & Turkic World,4,C
60,What is a “yurt” in Turkic tradition?,A royal title,A traditional horse saddle,A portable round tent used by nomads,A sacred religious relic,A musical instrument,Kazakhstan & Turkic World,4,C
61,Which musical instrument is commonly found in Turkic folk culture?,Violin,Dombra,Sitar,Oud,Harp,Kazakhstan & Turkic World,4,B
62,What role did oral poetry and storytelling play in Turkic culture?,It was mainly entertainment for children,It was used to pass time during winter,"It preserved history, values, and traditions",It replaced written language entirely,It was imported from neighboring cultures,Kazakhstan & Turkic World,4,C
63,The epic “Manas” is associated with which Turkic group?,Uighurs,Kazakhs,Uzbeks,Kyrgyz,Tatars,Kazakhstan & Turkic World,4,D
64,Which of the following empires was founded by a Turkic people?,Roman Empire,Ottoman Empire,Mongol Empire,Han Dynasty,Persian Empire,Kazakhstan & Turkic World,4,B
65,Which religion had a strong influence on the Turkic peoples before the spread of Islam?,Christianity,Hinduism,Shamanism and Tengrism,Buddhism only,Confucianism,Kazakhstan & Turkic World,4,C
67,Which ancient philosopher was born in the territory of present Kazakhstan?,Aristotle,Al-Farabi,Ibn Sina,Descartes,Confucius,Kazakhstan & Turkic World,4,B
68,Which famous Kazakh poet and philosopher wrote “The Book of Words” (“Kara Sozder”)?,Shakarim,Saken Seifullin,Abai Kunanbayev,Al-Farabi,Zhambyl Zhabayev,Kazakhstan & Turkic World,4,C
69,What does the eagle on the Kazakh flag symbolize?,War,Power and freedom,Religion,Agriculture,Peace,Kazakhstan & Turkic World,4,B
70,Name Kazakh leader who led a major national-liberation uprising in the 19th century,Ablai Khan,Kenesary Kasymov,Abulkhair Khan,Kerey Khan,Tole Bi,Kazakhstan & Turkic World,4,B
74,"The project ""Sacred Geography of Kazakhstan"" was launched in",2017,2020,2024,2022,2018,Kazakhstan & Turkic World,4,A
76,what is the name of Khodzha Akhmed Yasawi's famous work?,Dīwān-i Hikmat (Compendium of Wisdom),Blessed knowledge,History,Religion,Royal wizdom,Kazakhstan & Turkic World,4,A
77,"Name the major researcher who traveled to Altai, Semirechye, and Central Asia.",Semenov-Tian-Shansky,Radlov,Velyaminov-Zernov,Dobrossmyslov,Makovetsky,Kazakhstan & Turkic World,5,B
78,"Who composed the music for Altynsarin’s poem “Kel, balalar, okylyq”?",Zhaya Musa,Birzhan sal,Akan-sere,Ykylas,Mayra,Kazakhstan & Turkic World,5,A
79,The founder of the lyrical direction in dombra music is:,Kurmangazy,Tattimbet,Dauletkerey,Ykylas,Birzhan,Kazakhstan & Turkic World,5,C
80,What is the basis of the Kazakh reverence for ancestors?,the cult of ancestors,belief in the protection of aruak (spirits),unconditional respect for elders,filial duty,sense of duty,Kazakhstan & Turkic World,5,B
81,What is a characteristic feature of Kazakh society?,complex intra-ethnic structure,belonging to a specific clan ( ru ),significance of social status of an individual,complex structure of tribal organization,presence of a heroic ancestor,Kazakhstan & Turkic World,5,D
82,Which of the following does NOT belong to women’s crafts among Kazakhs?,embroidery,carpet weaving,braiding/weaving,wood carving,applique decoration,Kazakhstan & Turkic World,5,D
83,The spread of Islam in Kazakhstan began in which century?,8th century,5th century BCE,10th century,11th century,6th century,Kazakhstan & Turkic World,5,A
84,The archaeologist who discovered the “Golden Man” of the Sak period:,"Akishev, Issyk","Argymbayev, Almaty","Kopylov, Talgar","Mukanova, Aktobe",an archaeologist who concealed his name,Kazakhstan & Turkic World,5,A
86,Which ritual song is performed by a bride?,kórisu,zhoktaw,synsu,kara ólen,zhar-zhar,Kazakhstan & Turkic World,5,C
87,Which feature characterizes the philosophy of Kazakh Enlightenment classics?,materialism,metaphysics,irrationalism,humanism,teleologism,Kazakhstan & Turkic World,5,D
88,Which area of Chokan Valikhanov’s philosophical views is the most developed?,philosophy of religion,epistemology,ontology,philosophy of history,axiology,Kazakhstan & Turkic World,5,A
89,The central problem of Abai’s philosophy is:,cognition,human being,religion,ontology,-,Kazakhstan & Turkic World,5,B
90,How does Abai describe the state of Kazakh society of his time?,as a golden age,he gives no evaluation,as a given,as a stage toward a specific goal,"critically, as requiring transformation",Kazakhstan & Turkic World,5,E
91,From 1898–1928 Shakarim wrote one of his major philosophical works titled “Three …”:,admonitions,companions,delusions,truths,moral laws,Kazakhstan & Turkic World,5,D
92,“Adam bol!” (“Be a human!”) – a principle first proclaimed by:,Abai,A. Baitursynov,Ch. Valikhanov,A. Bukeykhanov,Shakarim,Kazakhstan & Turkic World,5,A
93,Which European thinkers did Abai know well?,Hegel,Kant,Descartes,Bacon,Spinoza,Kazakhstan & Turkic World,5,E
94,Ch. Valikhanov said it is necessary to consider three factors... and …,spread of religion,scale of ignorance,motives and incentives,nature of authority,position of local rulers,Kazakhstan & Turkic World,5,D
95,The main political stance of the “Alash” party was:,non-violence,connection with sharua (peasants),clear political program,consideration of people’s religiosity,education in the native language,Kazakhstan & Turkic World,5,E
96,The philosophy of Kazakh Enlightenment is characterized by:,materialism,metaphysics,irrationalism,humanism,idealism,Kazakhstan & Turkic World,5,D
97,The cult of ancestors among Kazakhs is called:,Umai,Allah,Dingir,Tengri,Aruakh,Kazakhstan & Turkic World,5,E
98,To which type of civilization does Kazakh culture belong?,Western,Eastern,Central Asian,Middle Eastern,Eurasian,Kazakhstan & Turkic World,6,E
99,Who contributed to the development and spread of Sufism on the territory of Kazakhstan?,Al-Farabi,Akhmet Yugnaki,Akhmet Yassawi,Mahmud Kashgari,Al-Ghazali,Kazakhstan & Turkic World,6,C
100,Prominent representatives of Soviet Kazakh culture are:,"A. Kunanbayev, Z. Zhabaev, M. Auezov","A. Kunanbayev, Y. Altynsarin, Ch. Valikhanov","Sh. Kudaiberdiev, M. Dulatov","Z. Zhabaev, S. Seifullin, M. Auezov","D. Nurpeisova, Kurmangazy, Dauletkerey",Kazakhstan & Turkic World,6,D
101,The well-known scholar who deeply studied Kazakh musical art (before the October Revolution):,Castagne A.,Potanin G.,Zataevich A.,Eichhorn A.,Rybakov S.,Kazakhstan & Turkic World,6,C
102,"The famous scholar, linguist, educator, and editor of the newspaper “Kazakh”:",Zhumabayev M.,Aimanov J.,Dulatov M.,Asfendiyarov S.,Baitursynov A.,Kazakhstan & Turkic World,6,E
103,The reformer of the Kazakh alphabet was:,A. Baitursynov,A. Kunanbayev,A. Bokeykhanov,Sh. Kudaiberdiev,I. Altynsarin,Kazakhstan & Turkic World,6,A
104,Which of the following is NOT a Kazakh epic?,“Koblandy”,“Alpamys”,“Kyz Zhibek”,“Manas”,“Ayman-Sholpan”,Kazakhstan & Turkic World,6,D
105,"Who is the author of the Kazakh national manifesto “Oyan, qazaq!”?",M. Dulatov,M. Mukataev,K. Myrzaliev,M. Zhumabayev,A. Zhumabayev,Kazakhstan & Turkic World,6,A
106,Who introduced the term “mankurt” into scholarly discourse?,R. Park,T. Parsons,Ch. Aitmatov,M. Mead,V. Pareto,Kazakhstan & Turkic World,6,C
107,Ancient nomads on the territory of Kazakhstan include:,Turks,Mongols,Naimans,Sak,Pashtuns,Kazakhstan & Turkic World,6,D
108,"The Kazakh writer, author of the epic novel “The Path of Abai”:",M. Auezov,S. Mukanov,I. Yessenberlin,G. Mustafin,S. Seifullin,Kazakhstan & Turkic World,6,A
109,A bright representative of heroic zhyrau poetry:,Koblandy,Asan Kaigy,Bukhar zhyrau,Balasaguni,Kaztugan,Kazakhstan & Turkic World,6,C
110,Kurmangazy’s first mentor in dombra playing was:,Uzak,Khanbazar,Alikey,Makar,Turyp,Kazakhstan & Turkic World,6,A
111,Which factor played the most significant role in the formation of nomadic Kazakh culture?,Climate and steppe ecology,Urbanization,Influence of Roman civilization,Geographical isolation,Decline of agriculture,Kazakhstan & Turkic World,6,A
112,The concept of “Tengri” in early Turkic culture refers to:,Ancestor,Supreme Sky Deity,Heroic warrior,Prophet,Nature spirit,Kazakhstan & Turkic World,6,B
113,The “zhol” (жол) in Kazakh traditional culture most accurately means:,Battle,"Path, moral code",Clan name,Ritual dance,Sacrifice,Kazakhstan & Turkic World,6,B
114,The earliest written evidence of Turkic languages is found in:,Sogdian manuscripts,Orkhon-Yenisei inscriptions,Persian chronicles,Arabic letters,Chinese Tang texts,Kazakhstan & Turkic World,6,B
116,Which Kazakh custom is performed to express gratitude?,Tusau kesu,Shashu,Betashar,Asar,Syngsu,Kazakhstan & Turkic World,6,D
117,What is characteristic of oral nomadic culture?,Dominance of written literature,Architectural monumentalism,Strong epic storytelling traditions,Printing of books,Latin script development,Kazakhstan & Turkic World,6,C
118,Who is considered the founder of the Kazakh Khanate?,Abylay Khan,Kasym Khan,Kerei and Zhanibek,Tauke Khan,Esim Khan,Kazakhstan & Turkic World,6,C
119,“Zheti ata” tradition establishes rules of:,Military hierarchy,Kinship and marriage restrictions,Trade relations,Religious practices,Hospitality,Kazakhstan & Turkic World,7,B
120,Which city was a major cultural center of the Great Silk Road on Kazakh territory?,Uralsk,Taldykorgan,Otyrar,Kokshetau,Pavlodar,Kazakhstan & Turkic World,7,C
121,The primary genre of Kazakh oral literature is:,Chronicle,Epic (epos),Poetic drama,Novel,Haiku,Kazakhstan & Turkic World,7,B
122,The term “bi” in traditional Kazakh society refers to:,Warrior,Judge and wise mediator,Musician,Shaman,Artisan,Kazakhstan & Turkic World,7,B
123,Which of the following is a Kazakh heroic epic?,“Shahnameh”,“Alpamys”,“Layli-Majnun”,“Mahabharata”,“Odyssey”,Kazakhstan & Turkic World,7,B
124,The Kazakh yurt is an example of:,Stationary architecture,Artistic abstraction,Mobile dwelling adapted to nomadism,Religious structure,Military shelter,Kazakhstan & Turkic World,7,C
126,The philosophy of Abai emphasizes primarily:,Mysticism,Material acquisition,Humanism and moral perfection,Polytheism,Military heroism,Kazakhstan & Turkic World,7,C
127,In Kazakh culture “Asar” means:,Bride’s farewell,Communal mutual help,Funeral ritual,Horse race,Wedding feast,Kazakhstan & Turkic World,7,B
128,Which famous scientist of the Middle Ages is called “The Second Teacher”?,Ibn Sina,Al-Farabi,Attar,Al-Kindi,Gazali,Kazakhstan & Turkic World,7,B
130,Sufism contributed to:,Industrialization,Development of spiritual ethics,Growth of military elite,Urban destruction,Decline of literature,Kazakhstan & Turkic World,7,B
131,Which concept expresses gratitude in Kazakh values?,Rakhmet,Zhasau,Aruak,Kydyr,Zheke,Kazakhstan & Turkic World,7,A
132,Kazakh ornaments “koshkar muyiz” symbolize:,Female beauty,Military courage,Ram’s horns — strength and prosperity,Celestial sky,Death and rebirth,Kazakhstan & Turkic World,7,C
133,“Book of Words” (“Kara Sozder”) was written by:,Shakarim,Abai,Magzhan,Bukhar zhyrau,Dulatov,Kazakhstan & Turkic World,7,B
134,The main marriage prohibition in Kazakh culture is:,Marriage with foreigners,Marriage between social classes,Marriage within seven ancestors (zheti ata),Marriage under 18,Marriage without dowry,Kazakhstan & Turkic World,7,C
135,The traditional Kazakh worldview is best described as:,Rational-materialistic,Nomadic-holistic and nature-centered,Urban-industrial,Mediterranean,Secular-technocratic,Kazakhstan & Turkic World,7,B
136,The “Golden Man” symbolizes:,Early Christianity,Decline of nomadism,High craftsmanship of Saks civilization,Mongol occupation,Medieval Islamization,Kazakhstan & Turkic World,7,C
137,Which Kazakh poet is associated with the national awakening movement?,M. Auezov,S. Seifullin,M. Zhumabayev,A. Kunanbayev,S. Mukanov,Kazakhstan & Turkic World,7,C
138,“Kyz uzatu” is a ceremony related to:,Funeral,Childbirth,Bride’s departure from her family,Horse sacrifice,Victory celebration,Kazakhstan & Turkic World,7,C
139,The main functions of music in nomadic culture include:,Only entertainment,Transmission of history and values,Religious worship only,Military signaling only,None of the above,Kazakhstan & Turkic World,7,B